,PC1,PC2,PC3,PC4,PC5,PC7,PC8,PC9,PC10
fixed acidity,0.49,-0.11,-0.12,0.23,0.08,0.35,0.18,-0.19,-0.25
volatile acidity,-0.24,0.27,-0.45,-0.08,-0.22,0.53,0.08,0.13,0.36
citric acid,0.46,-0.15,0.24,0.08,0.06,-0.1,0.38,0.38,0.62
residual sugar,0.15,0.27,0.1,0.37,-0.73,-0.29,-0.3,-0.01,0.09
chlorides,0.21,0.15,-0.09,-0.67,-0.25,-0.37,0.36,-0.11,-0.22
free sulfur dioxide,-0.04,0.51,0.43,0.04,0.16,0.12,0.2,-0.64,0.25
total sulfur dioxide,0.02,0.57,0.32,0.04,0.22,0.09,-0.02,0.59,-0.37
density,0.4,0.23,-0.34,0.17,-0.16,0.17,0.24,-0.02,-0.24
pH,-0.44,0.01,0.06,0,-0.27,0.02,0.56,0.17,-0.01
sulphates,0.24,-0.04,0.28,-0.55,-0.23,0.45,-0.37,0.06,0.11
alcohol,-0.11,-0.39,0.47,0.12,-0.35,0.33,0.22,-0.04,-0.3
