country,invasion_cost,rank,inv_cost_millions
China,1.17E+11,1,1.17E+05
USA,7.04E+10,2,7.04E+04
Brazil,3.38E+10,3,3.38E+04
India,3.31E+10,4,3.31E+04
Japan,2.35E+10,5,2.35E+04
Korea,1.43E+10,6,1.43E+04
Turkey,1.33E+10,7,1.33E+04
Argentina,1.32E+10,8,1.32E+04
France,1.25E+10,9,1.25E+04
Mexico,1.13E+10,10,1.13E+04
Iran,1.13E+10,11,1.13E+04
Nigeria,1.03E+10,12,1.03E+04
Indonesia,9.55E+09,13,9.55E+03
Thailand,8.07E+09,14,8.07E+03
Australia,7.82E+09,15,7.82E+03
Vietnam,7.49E+09,16,7.49E+03
Ukraine,6.95E+09,17,6.95E+03
Egypt,6.74E+09,18,6.74E+03
Canada,6.69E+09,19,6.69E+03
Pakistan,6.63E+09,20,6.63E+03
Germany,6.48E+09,21,6.48E+03
Bangladesh,5.62E+09,22,5.62E+03
Spain,5.58E+09,23,5.58E+03
Russian,5.08E+09,24,5.08E+03
Philippines,4.84E+09,25,4.84E+03
Greece,4.34E+09,26,4.34E+03
United,4.01E+09,27,4.01E+03
South,3.92E+09,28,3.92E+03
Romania,3.52E+09,29,3.52E+03
Algeria,2.86E+09,30,2.86E+03
Morocco,2.53E+09,31,2.53E+03
Colombia,2.48E+09,32,2.48E+03
Poland,2.45E+09,33,2.45E+03
Ethiopia,2.31E+09,34,2.31E+03
Venezuela,2.17E+09,35,2.17E+03
Chile,2.10E+09,36,2.10E+03
Netherlands,1.98E+09,37,1.98E+03
Hungary,1.98E+09,38,1.98E+03
Belarus,1.78E+09,39,1.78E+03
Peru,1.58E+09,40,1.58E+03
Cameroon,1.57E+09,41,1.57E+03
Italy,1.45E+09,42,1.45E+03
Denmark,1.42E+09,43,1.42E+03
Nepal,1.41E+09,44,1.41E+03
Sudan,1.37E+09,45,1.37E+03
Portugal,1.37E+09,46,1.37E+03
Belgium,1.35E+09,47,1.35E+03
Kazakhstan,1.34E+09,48,1.34E+03
Czech,1.34E+09,49,1.34E+03
Austria,1.30E+09,50,1.30E+03
Iraq,1.23E+09,51,1.23E+03
Kenya,1.23E+09,52,1.23E+03
Mozambique,1.22E+09,53,1.22E+03
Cambodia,1.12E+09,54,1.12E+03
Ghana,1.11E+09,55,1.11E+03
Bulgaria,1.11E+09,56,1.11E+03
Madagascar,1.07E+09,57,1.07E+03
Malawi,1.07E+09,58,1.07E+03
Paraguay,1.01E+09,59,1.01E+03
Guinea,9.78E+08,60,9.78E+02
Tunisia,9.49E+08,61,9.49E+02
Ecuador,9.35E+08,62,9.35E+02
Switzerland,9.24E+08,63,9.24E+02
Dominican,8.73E+08,64,8.73E+02
Jamaica,8.72E+08,65,8.72E+02
Sri,8.29E+08,66,8.29E+02
Yemen,8.06E+08,67,8.06E+02
Saudi,8.04E+08,68,8.04E+02
Honduras,7.94E+08,69,7.94E+02
Croatia,7.56E+08,70,7.56E+02
Azerbaijan,7.31E+08,71,7.31E+02
New,6.40E+08,72,6.40E+02
Albania,6.37E+08,73,6.37E+02
Finland,6.01E+08,74,6.01E+02
Slovakia,5.73E+08,75,5.73E+02
Burkina,5.58E+08,76,5.58E+02
Costa,5.57E+08,77,5.57E+02
Sweden,5.47E+08,78,5.47E+02
Israel,5.18E+08,79,5.18E+02
Uruguay,5.09E+08,80,5.09E+02
Laos,5.08E+08,81,5.08E+02
Mali,5.05E+08,82,5.05E+02
El,4.75E+08,83,4.75E+02
Norway,4.19E+08,84,4.19E+02
Burundi,3.98E+08,85,3.98E+02
Lithuania,3.92E+08,86,3.92E+02
Moldova,3.88E+08,87,3.88E+02
Armenia,3.36E+08,88,3.36E+02
Malaysia,3.33E+08,89,3.33E+02
Bosnia,3.27E+08,90,3.27E+02
Kyrgyzstan,3.02E+08,91,3.02E+02
Georgia,3.02E+08,92,3.02E+02
Tajikistan,2.97E+08,93,2.97E+02
Ireland,2.78E+08,94,2.78E+02
Lebanon,2.77E+08,95,2.77E+02
Nicaragua,2.64E+08,96,2.64E+02
Rwanda,2.55E+08,97,2.55E+02
Mauritius,2.28E+08,98,2.28E+02
Macedonia,2.18E+08,99,2.18E+02
Congo,2.13E+08,100,2.13E+02
Slovenia,2.02E+08,101,2.02E+02
Niger,1.97E+08,102,1.97E+02
Latvia,1.87E+08,103,1.87E+02
Panama,1.61E+08,104,1.61E+02
Togo,1.53E+08,105,1.53E+02
Jordan,1.16E+08,106,1.16E+02
Guinea,1.14E+08,107,1.14E+02
Cyprus,1.09E+08,108,1.09E+02
Estonia,1.02E+08,109,1.02E+02
Fiji,8.71E+07,110,8.71E+01
Mongolia,6.47E+07,111,6.47E+01
Luxembourg,6.47E+07,112,6.47E+01
Belize,4.22E+07,113,4.22E+01
Cape,4.08E+07,114,4.08E+01
Gambia,3.76E+07,115,3.76E+01
Suriname,3.65E+07,116,3.65E+01
Trinidad,2.88E+07,117,2.88E+01
Vanuatu,2.35E+07,118,2.35E+01
Barbados,2.03E+07,119,2.03E+01
Equatorial,1.65E+07,120,1.65E+01
Malta,1.44E+07,121,1.44E+01
Qatar,5.00E+06,122,5.00E+00
Iceland,4.80E+06,123,4.80E+00
Singapore,7.00E+05,124,7.00E-01
